review_id,business_name,stars,date,text,reviewer_reviews_count,is_local_guide,likes_count,source,date_parsed,clean_text,has_text,text_length,meal_type,price_range,mention_id,sentiment,main_topic,text_reference,urgency,is_actionable,classification_confidence,classified_at,model_used
Ci9DQUlRQUNvZENodHljRjlvT25rNVoweE1ZemN4YVc4NGVuaEdVRk4xVjJaclIwRRAB,Wegmans Chesapeake VA,5,2026-05-05T01:25:13.057Z,,54,True,0,google_maps,2026-05-05,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT25RMVRYZG1UelJQVmtoS1pYbFhkM0ZIWW5sT2FuYxAB,Wegmans Chesapeake VA,5,2026-05-03T16:21:45.628Z,,24,True,0,google_maps,2026-05-03,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT25NeU5FTjZjak0zZURRdE1GSTRlREEzTVZVdE1uYxAB,Wegmans Chesapeake VA,5,2026-05-01T12:03:43.587Z,,47,True,0,google_maps,2026-05-01,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2xGbmFYWldWMlpNVDNJNVlXSnZWbTlmTVdJNE5XYxAB,Wegmans Chesapeake VA,5,2026-04-29T19:42:14.627Z,,39,False,0,google_maps,2026-04-29,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2xwMWNtdHpjemxLWlhGUmFFWndUMHh6VVdSNmRIYxAB,Wegmans Chesapeake VA,5,2026-04-24T22:25:09.055Z,,5,True,0,google_maps,2026-04-24,,False,0,,,,,,,,,,,
ChdDSUhNMG9nS0VJQ0FnSUNPd01MN2dRRRAB,Wegmans Chesapeake VA,4,2026-04-19T20:33:00.663Z,,18,True,0,google_maps,2026-04-19,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2s5T2NsQTFOWGRNYVZndFFUVkNiamh3VlVOTGQyYxAB,Wegmans Chesapeake VA,4,2026-04-19T19:57:45.499Z,,9,True,0,google_maps,2026-04-19,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2s1SFQzWXpSa2RrWkRaM2JVOWFWWEYxWVRCVUxXYxAB,Wegmans Chesapeake VA,5,2026-04-12T14:40:43.615Z,,18,True,0,google_maps,2026-04-12,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2xOcE1teDFVMlJmZW1KTWRFZFZkemRIUkVOTGJXYxAB,Wegmans Chesapeake VA,5,2026-04-11T21:52:28.691Z,,19,True,0,google_maps,2026-04-11,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2tsNFRYUjBOWHBWT1VaWllrZGlPVmxUVW5wQlQxRRAB,Wegmans Chesapeake VA,5,2026-04-11T04:05:20.348Z,,176,True,0,google_maps,2026-04-11,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2xkMU1rZHFaVU5UUlhCd09HdDFXVFZMVTJZeWNrRRAB,Wegmans Chesapeake VA,4,2026-04-04T18:11:48.403Z,,13,True,0,google_maps,2026-04-04,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT25rNVExaERiVFJyUVhaVVpVMW5OV05RYjIxV2QwRRAB,Wegmans Chesapeake VA,4,2026-03-29T04:47:25.562Z,,27,True,0,google_maps,2026-03-29,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2tWME4yeGtOVEpMTmpKUVdrUjNibU5PYWpaUlYzYxAB,Wegmans Chesapeake VA,5,2026-03-27T19:16:22.937Z,,168,True,0,google_maps,2026-03-27,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT21kbGNVZzVWMlYzU21OdVRYTmhPVmQyTW5aSmVIYxAB,Wegmans Chesapeake VA,4,2026-03-27T12:07:39.650Z,,0,False,0,google_maps,2026-03-27,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT21GcVVWaEViSGRCV2pOaU9UZHhhbmxHTUZoNU1uYxAB,Wegmans Chesapeake VA,5,2026-03-22T13:17:57.859Z,,1,False,0,google_maps,2026-03-22,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2xOcmJUaDNWMFY1Y1RBeGRsa3dWV1V5ZGpnelNHYxAB,Wegmans Chesapeake VA,5,2026-03-21T16:52:22.317Z,,12,True,0,google_maps,2026-03-21,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2pabmVsZFFTRGx1WVVwQ1pIcHNPVUZoT1VWYVVWRRAB,Wegmans Chesapeake VA,5,2026-03-16T17:02:31.729Z,,26,True,0,google_maps,2026-03-16,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2pseWFUSmtTVVZoVEhWV1ZuSlRiR1prTWs1bE1WRRAB,Wegmans Chesapeake VA,5,2026-03-14T02:11:39.094Z,,68,True,0,google_maps,2026-03-14,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2pNdFptcEVjMGxPV0dsMFpHd3dOM1F3UTB0bGFYYxAB,Wegmans Chesapeake VA,5,2026-03-09T13:50:06.818Z,,42,True,0,google_maps,2026-03-09,,False,0,,,,,,,,,,,
ChZDSUhNMG9nS0VJQ0FnSUNpNHBPLVhBEAE,Wegmans Chesapeake VA,5,2026-03-03T19:37:05.777Z,,110,True,1,google_maps,2026-03-03,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT21WeVFWTjRURzlUYVRSMVNXOHdkVk5SVXpKUFZIYxAB,Wegmans Chesapeake VA,5,2026-02-27T19:57:14.807Z,,10,False,0,google_maps,2026-02-27,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT21KRVYxQkJNRTVxUjFGWGJGbG9VMkZWWWtZdFJYYxAB,Wegmans Chesapeake VA,5,2026-02-23T02:20:42.529Z,,11,True,0,google_maps,2026-02-23,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2pSSFZtSnBiVU5XWWpsSVZUTmhNamxsYlVzd2VYYxAB,Wegmans Chesapeake VA,5,2026-02-23T00:21:37.380Z,,5,False,0,google_maps,2026-02-23,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT25BMVZWQkRSMDVaU1dOUGVYTkNWM1YwZUVSTlNGRRAB,Wegmans Chesapeake VA,5,2026-02-19T21:17:12.889Z,,2,False,0,google_maps,2026-02-19,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2tsRE0ybFJUMnhuTVUxSVR6SklPVmQyUVd0RFFsRRAB,Wegmans Chesapeake VA,5,2026-02-18T00:55:39.608Z,,40,True,0,google_maps,2026-02-18,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT214bmJXTmxjRU40UzNoUGVuQm9jMUpuV0hKRFVHYxAB,Wegmans Chesapeake VA,5,2026-02-14T23:51:12.820Z,,5,False,0,google_maps,2026-02-14,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2xsR2RUQnJOalJNV0RVMVYwcHpSR0p5VkZKSFNtYxAB,Wegmans Chesapeake VA,5,2026-02-13T20:22:53.639Z,,73,True,0,google_maps,2026-02-13,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2t0cE9VOVBTVGR3VHpKVlFtbHdWMnM0ZW1JNFZuYxAB,Wegmans Chesapeake VA,5,2026-02-07T10:55:14.234Z,,7,False,0,google_maps,2026-02-07,,False,0,,,,,,,,,,,
