review_id,business_name,stars,date,text,reviewer_reviews_count,is_local_guide,likes_count,source,date_parsed,clean_text,has_text,text_length,meal_type,price_range,mention_id,sentiment,main_topic,text_reference,urgency,is_actionable,classification_confidence,classified_at,model_used
Ci9DQUlRQUNvZENodHljRjlvT2tSWGRXaEJkemh0WVhnNE5qZFhWMGR3ZERaaWVYYxAB,Bonafide Villa Allende,4,2026-05-04T11:50:55.802Z,,10,True,0,google_maps,2026-05-04,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT25CVU1FcHlVMWcxV1RneExWRnFTRTFhU0VsNWVXYxAB,Bonafide Villa Allende,4,2026-05-02T22:34:11.318Z,,76,True,0,google_maps,2026-05-02,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT25WSFFXd3pVak5PUm1jeFkyZFhTRXMyTTJ4S0xWRRAB,Bonafide Villa Allende,5,2026-04-29T03:15:45.392Z,,4,True,0,google_maps,2026-04-29,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2pKSE9YVldNVXQzWlRCM2VXRjZWbGR5WXpOalFYYxAB,Bonafide Villa Allende,4,2026-04-23T16:51:10.048Z,,127,True,0,google_maps,2026-04-23,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT21Kdk1tZG9NMGRIWnpWcE5UUXhZbGxzTkdWM2QxRRAB,Bonafide Villa Allende,3,2026-04-17T12:40:07.393Z,,101,True,0,google_maps,2026-04-17,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2pVd1NGQk5aazF2TFVSWFJHMWFURGw0YzJkRGRVRRAB,Bonafide Villa Allende,5,2026-04-16T01:54:51.722Z,,2,False,0,google_maps,2026-04-16,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2pWWWR6ZGplRzlMYmxka1psWkNORWRMZVRCNmFWRRAB,Bonafide Villa Allende,5,2026-04-14T13:48:22.303Z,,52,True,0,google_maps,2026-04-14,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT25reVVrcGZVV3g2Y25aWlVHOTRlVlV4TWxnelVVRRAB,Bonafide Villa Allende,4,2026-04-13T14:14:07.891Z,,218,True,0,google_maps,2026-04-13,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT2tWRWNEWXpNazVSYXpSbmJsVkNhemwxV1hKd1NIYxAB,Bonafide Villa Allende,5,2026-04-11T18:26:36.001Z,,6,False,0,google_maps,2026-04-11,,False,0,,,,,,,,,,,
Ci9DQUlRQUNvZENodHljRjlvT25wRFJXTk9iWHBZWjBzNVVEWllMVmRNUTNCRFJXYxAB,Bonafide Villa Allende,5,2026-04-07T21:50:03.840Z,,82,True,0,google_maps,2026-04-07,,False,0,,,,,,,,,,,
